entry_id,created,owner,customer,type,note,next_action,next_action_date
CRM-125838,2026-08-27,Grace Nairn,CUS-11104,Call,Waiting on LOA,,
CRM-150795,06/07/2026,Amber Doyle,TEM-84987-G,Call,"Price sensitive, wants >10% saving to stay",Book meeting,
CRM-118994,2026-08-06,Callum Rowntree,Kestrel Care Ltd,Task,Chased signature,Send quote,
CRM-156783,2026-03-03,Rhys Doyle,Zetland Aggregates Co,Email,Chased signature,,2026-03-18
CRM-126152,13/06/2026,Aisha Sharpe,CUS-11106,Meeting,,,
CRM-137749,02/02/2025,Nia Wren,CUS-11664,Task,,,
CRM-133314,20/03/2025,James Jennings,Stanhope Pharmacy Holdings,Call,Wants multi-site quote for renewal,Send quote,
CRM-108040,09/10/2024,Anita Mercer,CUS-10375,Email,Escalation raised - threatened to leave,,
CRM-120147,08/07/2026,Callum Rowntree,Quenington Hotels Ltd,Meeting,"No answer, try next week",,
CRM-139589,11/11/2024,James Jennings,TEM-71009-D,Call,,,2024-11-29
CRM-135092,04/08/2025,,CUS-11557,Call,Chased signature,Book meeting,
CRM-108252,2026-02-10,Aisha Sharpe,TEM-99885-F,Meeting,,,
CRM-119551,2025-12-11,Iona Mercer,Whitethorn Cinemas,Call,Very happy with RED savings this year,,
CRM-141914,2026-01-29,Gareth Hansen,,Call,,Send quote,
CRM-138623,2024-11-21,Kirsty Pryce,Dunmore Forge Holdings,Email,Lost on price at renewal,Follow up,2024-12-14
CRM-104575,14/10/2024,Amber Doyle,Umberside Upholstery Holdings,Note,Waiting on LOA,Follow up,
CRM-129987,13/07/2026,Aisha Sharpe,CUS-11302,Call,Chased signature,,
CRM-131200,2025-05-18,James Brooke,CUS-11356,Email,,Send quote,
CRM-125797,18/04/2024,James Brooke,,Call,Waiting on LOA,,01/05/2024
CRM-103221,2024-12-26,Grace Nairn,CUS-10151,Call,Very happy with RED savings this year,Escalate to AM,
