review_id,date,reviewer,rating_1_5,title,body,replied
TP-1180,2026-05-31,Rhys,5,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-994,2025-05-13,Freya Lowther,5,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-1328,2025-10-14,Fatima Norbury,4,Mixed experience,Switched our sites and the savings matched the quote.,No
TP-810,2025-05-02,Rhys,2,Transparent pricing,Support took days to reply.,No
TP-1333,2026-05-03,Priya Ottershaw,4,Transparent pricing,Quote was cheaper than the incumbent by some way.,No
TP-1320,2025-08-28,Emily from Redwing Glassworks Holdings,2,Slow support,Switched our sites and the savings matched the quote.,Yes
TP-1140,2025-02-08,Dev Jarrow,5,Great for our sites,Our broker recommended tem and it has been solid.,No
TP-925,2026-07-12,Craig,3,Billing woes,Switched our sites and the savings matched the quote.,No
TP-820,2025-01-09,Gareth from Norbury Veterinary,3,Refreshing energy supplier,Left after our contract ended - renewal offer was late.,No
TP-1168,2025-10-15,Nadia Kelbrook,4,Mixed experience,Support took days to reply.,No
TP-1261,2025-12-29,Tara from Tredegar Hotels Group,2,Billing woes,Switched our sites and the savings matched the quote.,No
TP-1138,2026-05-07,Ewan from Ashcombe Padel,3,Transparent pricing,"Renewal was painless, rate came in lower.",Yes
TP-959,2026-01-03,Holly Oakhurst,5,Avoid,Had a billing dispute that dragged on for weeks.,No
TP-969,2026-08-21,Jack from Thackery Precision Group,5,Transparent pricing,Portal needs work but the pricing is honest.,No
TP-908,2025-07-28,Nadia Gilded,2,Slow support,Switched our sites and the savings matched the quote.,Yes
TP-992,2025-03-27,Kirsty,1,Transparent pricing,Support took days to reply.,No
TP-1183,2025-01-10,Ewan,3,Brilliant onboarding,Our broker recommended tem and it has been solid.,No
TP-939,2026-03-25,Lucy from Summerton Coachworks Group,2,Avoid,Switched our sites and the savings matched the quote.,Yes
TP-951,2025-12-01,Sarah from Bluewater Aggregates,4,Refreshing energy supplier,Switched our sites and the savings matched the quote.,No
TP-1264,2025-11-10,Anita Riverbank,4,Genuinely cheaper,Had a billing dispute that dragged on for weeks.,No
TP-1035,2025-09-25,Craig,1,Brilliant onboarding,"Renewal was painless, rate came in lower.",Yes
TP-1274,2026-01-11,Gareth Lighthouse,4,Billing woes,Portal needs work but the pricing is honest.,Yes
TP-1349,2026-03-10,Noel from Kestrel Nurseries Group,2,Billing woes,Support took days to reply.,No
TP-1314,2025-08-17,Noel Umberside,4,Brilliant onboarding,Support took days to reply.,Yes
TP-1359,2026-05-31,Sarah from Hollybush Hotels,4,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,Yes
TP-1336,2025-04-01,Fatima,3,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,Yes
TP-921,2026-03-16,Sarah,5,Mixed experience,"Renewal was painless, rate came in lower.",No
TP-883,2025-01-25,Tara,3,Mixed experience,Support took days to reply.,No
TP-844,2026-07-24,Grace,2,Brilliant onboarding,"Renewal was painless, rate came in lower.",No
TP-814,2026-03-25,Holly,3,Refreshing energy supplier,Switched our sites and the savings matched the quote.,Yes
TP-1190,2025-09-08,Noel from Bexley Farm Foods Holdings,4,Billing woes,Switched our sites and the savings matched the quote.,No
TP-967,2025-07-09,Grace Silverbeck,4,Brilliant onboarding,Left after our contract ended - renewal offer was late.,Yes
TP-1304,2025-05-26,Anita,5,Great for our sites,Left after our contract ended - renewal offer was late.,Yes
TP-960,2025-08-15,Craig from Dunmore Retail Holdings,5,Refreshing energy supplier,Portal needs work but the pricing is honest.,Yes
TP-1358,2026-05-04,Zara from Whitethorn Galvanising (UK),3,Great for our sites,Portal needs work but the pricing is honest.,No
TP-834,2025-06-06,Freya,3,Mixed experience,Left after our contract ended - renewal offer was late.,No
TP-1120,2026-02-25,Ryan,5,Mixed experience,Left after our contract ended - renewal offer was late.,No
TP-1087,2025-05-07,Stefan Zetland,5,Avoid,Portal needs work but the pricing is honest.,No
TP-1023,2026-04-24,Daniel Oakhurst,5,Avoid,Had a billing dispute that dragged on for weeks.,No
TP-1348,2025-05-07,Nia,4,Billing woes,"Renewal was painless, rate came in lower.",Yes
TP-1002,2025-08-03,Priya Tanfield,4,Great for our sites,Quote was cheaper than the incumbent by some way.,No
TP-1078,2025-01-14,Aisha Lowther,1,Transparent pricing,Portal needs work but the pricing is honest.,Yes
TP-1277,2026-06-28,Chloe Violetta,4,Avoid,Quote was cheaper than the incumbent by some way.,Yes
TP-1253,2026-08-17,Daniel Cedar,4,Billing woes,"Renewal was painless, rate came in lower.",Yes
TP-1036,2025-04-25,Omar Hatherley,4,Slow support,Portal needs work but the pricing is honest.,Yes
TP-1158,2025-05-27,Nadia from Eastbrook Bakehouse Holdings,4,Genuinely cheaper,Our broker recommended tem and it has been solid.,No
TP-996,2026-01-26,Aisha Denholm,1,Billing woes,Portal needs work but the pricing is honest.,No
TP-1194,2025-11-17,Emily from Cobalt Cold Storage Co,2,Genuinely cheaper,Our broker recommended tem and it has been solid.,Yes
TP-922,2025-10-04,Anita,4,Transparent pricing,Support took days to reply.,Yes
TP-1200,2026-02-28,Nadia Caldwell,2,Mixed experience,Switched our sites and the savings matched the quote.,No
TP-830,2026-01-29,Gareth,3,Slow support,Had a billing dispute that dragged on for weeks.,Yes
TP-1121,2025-09-18,Dev,5,Billing woes,Had a billing dispute that dragged on for weeks.,Yes
TP-1254,2025-07-11,Nadia from Stanhope Milling Group,4,Brilliant onboarding,Switched our sites and the savings matched the quote.,Yes
TP-1298,2025-01-24,Sarah,2,Slow support,Left after our contract ended - renewal offer was late.,No
TP-914,2026-08-24,Megan,3,Slow support,Portal needs work but the pricing is honest.,Yes
TP-808,2026-01-22,Omar,2,Great for our sites,Quote was cheaper than the incumbent by some way.,No
TP-1031,2025-09-18,Craig from Yewtree Leisure,4,Billing woes,Support took days to reply.,Yes
TP-1068,2025-04-20,Ryan from Umberside Marine,5,Refreshing energy supplier,Support took days to reply.,No
TP-870,2025-04-21,Chloe,4,Refreshing energy supplier,Portal needs work but the pricing is honest.,No
TP-1207,2025-10-30,Lewis Ingleby,5,Refreshing energy supplier,Left after our contract ended - renewal offer was late.,No
TP-833,2026-07-04,Grace Riverbank,2,Avoid,"Renewal was painless, rate came in lower.",No
TP-1224,2026-03-24,Ryan from Norbury Joinery (UK),4,Slow support,Portal needs work but the pricing is honest.,No
TP-864,2026-05-23,Amber Lowther,2,Avoid,Left after our contract ended - renewal offer was late.,No
TP-981,2026-05-14,Noel Fernhill,3,Transparent pricing,Left after our contract ended - renewal offer was late.,Yes
TP-843,2026-04-26,Holly,5,Brilliant onboarding,Quote was cheaper than the incumbent by some way.,Yes
TP-1308,2025-03-26,Dev from Nettlebed Ice Cream,5,Mixed experience,Had a billing dispute that dragged on for weeks.,No
TP-1319,2025-06-20,Sanjay,3,Mixed experience,"Renewal was painless, rate came in lower.",Yes
TP-1082,2025-04-12,Jack,5,Transparent pricing,Support took days to reply.,No
TP-1103,2026-05-08,Tom from Marlow Joinery & Sons,4,Slow support,"Renewal was painless, rate came in lower.",No
TP-1334,2025-11-12,Daniel Padstow,1,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,Yes
TP-1335,2026-06-23,Emily from Applegarth Cold Storage,1,Slow support,Support took days to reply.,No
TP-911,2025-05-12,Anita,5,Mixed experience,"Renewal was painless, rate came in lower.",No
TP-1096,2025-08-17,Zara from Hatherley Farm Foods Partners,4,Great for our sites,Support took days to reply.,No
TP-1003,2026-06-17,Callum,4,Mixed experience,Support took days to reply.,Yes
TP-1014,2026-04-09,Tara Pennine,5,Billing woes,Had a billing dispute that dragged on for weeks.,No
TP-1212,2025-03-19,Ben Kingsmead,3,Refreshing energy supplier,Had a billing dispute that dragged on for weeks.,Yes
TP-1018,2025-12-11,Ryan Thackery,4,Avoid,Left after our contract ended - renewal offer was late.,No
TP-1201,2026-06-01,Rhys Foxglove,2,Refreshing energy supplier,"Renewal was painless, rate came in lower.",No
TP-805,2026-07-31,Sanjay,4,Genuinely cheaper,Left after our contract ended - renewal offer was late.,No
TP-1231,2026-03-05,Sanjay Birchmoor,5,Transparent pricing,Portal needs work but the pricing is honest.,Yes
TP-881,2026-04-11,Daniel Merrivale,3,Billing woes,Quote was cheaper than the incumbent by some way.,No
TP-980,2026-01-01,Emily Ellerton,5,Billing woes,"Renewal was painless, rate came in lower.",Yes
TP-891,2026-07-11,Rhys Quayside,4,Slow support,Our broker recommended tem and it has been solid.,No
TP-1071,2026-04-21,Rhys from Northgate Padel Partners,3,Mixed experience,Support took days to reply.,No
TP-1235,2026-03-29,Aisha,2,Great for our sites,"Renewal was painless, rate came in lower.",No
TP-1144,2025-08-05,Sanjay,2,Refreshing energy supplier,Quote was cheaper than the incumbent by some way.,No
TP-1236,2025-06-19,Dev from Quenington Forge,3,Billing woes,Had a billing dispute that dragged on for weeks.,Yes
TP-1100,2026-03-10,Peter,5,Billing woes,Quote was cheaper than the incumbent by some way.,No
TP-1191,2025-10-15,Tom Quenington,3,Brilliant onboarding,Support took days to reply.,Yes
TP-1065,2026-08-30,Callum,2,Avoid,Quote was cheaper than the incumbent by some way.,No
TP-1213,2025-01-13,Lucy from Whitethorn Farm Foods,3,Slow support,Had a billing dispute that dragged on for weeks.,No
TP-913,2025-07-17,Lucy Vantage,3,Great for our sites,Switched our sites and the savings matched the quote.,Yes
TP-1193,2025-10-05,Holly,4,Avoid,"Renewal was painless, rate came in lower.",No
TP-1025,2025-12-20,Tara Selworthy,2,Slow support,Left after our contract ended - renewal offer was late.,No
TP-1059,2026-02-27,Omar Hatherley,4,Mixed experience,Left after our contract ended - renewal offer was late.,Yes
TP-1341,2025-02-25,Chloe from Zetland Bookbinders,4,Brilliant onboarding,Left after our contract ended - renewal offer was late.,Yes
TP-1174,2025-01-31,Gareth from Ashcombe Restaurants Holdings,4,Slow support,Had a billing dispute that dragged on for weeks.,No
TP-1021,2026-07-20,Marcus Stanhope,2,Transparent pricing,Support took days to reply.,No
