site_id,account_ref,site_name,postcode,mpan,product,contract_start,contract_end,eac_kwh,current_unit_rate_p_per_kwh,site_status
S-20000,TEM-23570-D,Northgate site 1,B11 4ND,92 9298 1902 587,RED,29/01/2026,2027-01-29,910000,19.43,Live
S-20001,TEM-29826-E,Foxglove site 1,N3 9ND,3020896951509,RED,2023-03-22,2026-03-21,120000,31.59,Ended
S-20002,TEM-57731-D,Riverbank site 1,N2 3AP,17 8196 8782 291,RED,14/12/2024,14-Dec-26,62500,21.62,Live
S-20003,TEM-31160-E,Ashcombe site 1,S13 1HD,8535173661121,RED Plus,2024-10-02,02/10/2026,62500,32.26,Live
S-20004,TEM-77947-C,Fernhill site 1,E26 1AW,5840308542860,RED,07/09/2024,07 September 2027,210000,28.19,Live
S-20005,TEM-39719-B,Jarrow site 1,E4 5HW,08 2861 3707 640,RED,2025-02-10,10-Feb-28,88000,19.69,Live
S-20006,TEM-39719-B,Jarrow site 2,L28 8JD,4859555916090,RED Plus,12/01/2026,12/01/2027,480000,32.05,Live
S-20007,TEM-39719-B,Jarrow site 3,N12 2AW,7397-8110-93009,REDzero,11/01/2026,11-Jan-28,480000,31.48,Live
S-20008,TEM-39719-B,Jarrow site 4,S30 2NW,2573406847067,RED,04/03/2025,2028-03-03,1250000,20.03,Live
S-20009,TEM-55812-C,Marlow site 1,N11 6NR,4032-6594-23719,RED,2026-05-07,07 May 2027,120000,25.41,Live
S-20010,TEM-55089-G,Umberside site 1,G17 2BW,8338622906995,RED,19/04/2026,19/04/2027,42000,20.07,Live
S-20011,TEM-21130-F,Millpond site 1,B7 1NW,9407532512320,RED,2023-09-27,26 September 2026,42000,30.46,Live
S-20012,TEM-21130-F,Millpond site 2,S21 2NW,9333-2092-23752,RED,2025-04-11,10 April 2028,155000,18.88,Live
S-20013,TEM-21130-F,Millpond site 3,N24 8NW,70 2451 3833 392,RED Plus,10/10/2024,10-Oct-26,2100000,24.52,Live
S-20014,TEM-21130-F,Millpond site 4,N6 8AX,5295990340139,RED,18/10/2023,17-Oct-26,480000,31.18,Live
S-20015,TEM-21130-F,Millpond site 5,N9 2JP,7559776290291,REDzero,18/12/2023,17 December 2026,2100000,24.09,Live
S-20016,TEM-21130-F,Millpond site 6,L11 2AP,8822-1970-50519,RED,2025-10-29,29-Oct-27,155000,17.62,Live
S-20017,TEM-30435-E,Marlow site 1,S14 5NP,35 6467 3595 767,REDzero,12/04/2026,11-Apr-28,910000,26.73,Live
S-20018,TEM-37661-A,Kestrel site 1,M6 7ED,3936-1030-23945,RED,2025-01-24,24-Jan-28,120000,25.16,Live
S-20019,TEM-37661-A,Kestrel site 2,E28 7AD,36 2877 6916 147,RED,2025-10-30,30/10/2026,1250000,22.81,Live
S-20020,TEM-37661-A,Kestrel site 3,N5 8JR,43 3474 5498 276,REDzero,2024-03-05,05/03/2027,2100000,31.08,Live
S-20021,TEM-37661-A,Kestrel site 4,G2 2JT,4399643475033,RED,2027-02-18,2028-02-18,88000,19.83,Live
S-20022,TEM-37661-A,Kestrel site 5,G3 3JX,2075443323754,RED Plus,06/04/2025,05 April 2028,42000,17.89,Live
S-20023,TEM-37661-A,Kestrel site 6,G5 4ND,7585451857397,REDzero,08/09/2023,07/09/2026,910000,29.91,Live
S-20024,TEM-56371-D,Farrier site 1,G12 9ED,9901382156661,RED,2024-08-16,16 August 2025,2100000,17.84,Ended
S-20025,TEM-10515-G,Farrier site 1,N18 1HX,0999633274717,RED Plus,18/03/2026,2027-03-18,910000,30.6,Live
S-20026,TEM-10515-G,Farrier site 2,S4 8HW,9056-1605-13277,RED,23/12/2023,22-Dec-26,210000,20.33,Live
S-20027,TEM-23907-E,Bexley site 1,E21 8JT,1505-1282-96099,RED,2027-01-23,23/01/2028,660000,18.97,Live
S-20028,TEM-76263-E,Birchmoor site 1,N8 1HW,6913-6365-75812,RED,2026-02-10,10 February 2028,120000,28.92,Live
S-20029,TEM-83336-B,Yewtree site 1,G23 8ER,6234640110478,RED,2024-10-17,17 October 2027,120000,31.47,Live
S-20030,TEM-49685-G,Cedar site 1,E11 3HR,9749-6766-93891,RED,2022-10-26,25 October 2025,2100000,21.51,Ended
S-20031,TEM-31337-F,Fernhill site 1,B28 7EX,85 6744 4015 348,RED,28/10/2025,28-Oct-26,120000,18.77,Live
S-20032,TEM-31337-F,Fernhill site 2,G12 3NP,8737-0127-92267,RED Plus,2025-04-24,24/04/2027,2100000,27.18,Live
S-20033,TEM-54299-E,Garwood site 1,N13 7NX,57 3819 1067 413,RED,2024-12-22,22 December 2026,660000,23.45,Live
S-20034,TEM-23733-A,Quarrington site 1,S17 2JT,7691409815941,RED Plus,09/08/2023,08/08/2025,340000,30.33,Ended
S-20035,TEM-74829-F,Ironbridge site 1,L11 1ER,6885726074939,REDzero,13/04/2025,2027-04-13,480000,18.23,Live
S-20036,TEM-74829-F,Ironbridge site 2,B11 1JR,5544701340118,RED,2026-01-21,2027-01-21,155000,29.15,Live
S-20037,TEM-74829-F,Ironbridge site 3,B22 7BX,1477647065702,RED Plus,29/11/2026,29/11/2027,155000,19.53,Live
S-20038,TEM-74829-F,Ironbridge site 4,B5 4HT,90 0420 7836 980,RED,2026-10-06,2027-10-06,62500,27.47,Live
S-20039,TEM-74829-F,Ironbridge site 5,L5 8BT,48 7802 7704 040,RED,2024-01-07,06-Jan-27,62500,30.63,Live
S-20040,TEM-74829-F,Ironbridge site 6,N3 9HX,7859463197700,REDzero,2026-04-03,2028-04-02,1250000,20.1,Live
S-20041,TEM-74829-F,Ironbridge site 7,G28 6AX,52 0126 4666 722,RED Plus,18/09/2023,17-Sep-26,2100000,17.94,Live
S-20042,TEM-74829-F,Ironbridge site 8,B24 8JR,33 6403 9202 847,REDzero,2026-03-26,25/03/2028,660000,20.49,Live
S-20043,TEM-20976-E,Saltmarsh site 1,M26 9BR,7291421234512,RED,2025-10-09,09-Oct-26,42000,20.44,Live
S-20044,TEM-79063-F,Cedar site 1,M3 1BX,6374108450724,REDzero,2024-10-24,2026-10-24,210000,25.42,Live
S-20045,TEM-68417-E,Zephyr site 1,N20 2AR,9701803579045,RED,2024-04-07,07-Apr-27,42000,24.05,Live
S-20046,TEM-68417-E,Zephyr site 2,M19 2NX,73 4668 0764 673,RED,04/12/2024,04 December 2026,120000,22.86,Live
S-20047,TEM-68417-E,Zephyr site 3,M2 8JP,3407546228257,RED,2027-04-07,06-Apr-28,1250000,25.65,Live
S-20048,TEM-68417-E,Zephyr site 4,N15 9EX,0767830675005,RED Plus,22/03/2025,21/03/2028,42000,21.02,Live
S-20049,TEM-68417-E,Zephyr site 5,N3 7ET,9836-6986-51171,RED,24/12/2025,24/12/2027,1250000,28.98,Live
S-20050,TEM-68417-E,Zephyr site 6,L2 2BX,14 8853 7001 515,RED,2025-01-31,31 January 2027,210000,28.32,Live
S-20051,TEM-68596-A,Bluewater site 1,G20 9HX,2315750786713,RED Plus,2025-02-15,2027-02-15,480000,30.51,Live
S-20052,TEM-17128-G,Farrier site 1,M23 6HP,5926-2382-37379,RED Plus,2026-04-22,22 April 2027,910000,18.21,Live
S-20053,TEM-17128-G,Farrier site 2,L30 2NW,8800-3131-77623,RED,10/10/2026,10 October 2027,660000,18.12,Live
S-20054,TEM-46953-E,Yarrow site 1,G19 6JR,6181343668494,RED,05/02/2027,2028-02-05,62500,26.7,Live
S-20055,TEM-52406-B,Zetland site 1,B8 7ET,9662918616265,RED Plus,2026-02-24,24 February 2027,660000,24.56,Live
S-20056,TEM-52406-B,Zetland site 2,L14 9BW,41 1576 6547 308,RED,26/02/2025,26-Feb-28,340000,27.58,Live
S-20057,TEM-52406-B,Zetland site 3,S3 5BP,3731-3915-83300,RED,2023-09-26,25 September 2026,120000,30.41,Live
S-20058,TEM-42529-E,Merrivale site 1,E3 2JR,2480-3390-85923,RED,2025-07-14,2027-07-14,120000,21.66,Live
S-20059,TEM-21073-E,Wrenfield site 1,G18 7ND,3877-7959-03699,RED,2026-01-14,14/01/2027,660000,29.42,Live
