quote_id,mpan,quote_rate_p_per_kwh,generated_at,valid_until,status,notes
Q-70000,9292981902587,17.77,2026-08-30,14/09/2026,Priced,
Q-70001,17 8196 8782 291,22.99,2026-08-26,2026-09-06,Priced,
Q-70002,8535-1736-61121,31.08,2026-08-30,06/09/2026,Priced,
Q-70003,5840-3085-42860,28.2,2026-08-26,2026-09-08,Priced,
Q-70004,08 2861 3707 640,20.71,2026-08-26,10/09/2026,Priced,
Q-70005,4859555916090,33.82,2026-08-30,2026-09-07,Priced,
Q-70006,73 9781 1093 009,34.64,2026-09-01,13/09/2026,Priced,
Q-70007,2573406847067,18.38,2026-08-26,2026-09-12,Priced,
Q-70008,4032659423719,25.12,2026-08-26,06/09/2026,Priced,
Q-70009,8338622906995,18.72,2026-08-28,04/09/2026,Priced,
Q-70010,94 0753 2512 320,25.3,2026-09-01,2026-09-13,Priced,
Q-70011,70 2451 3833 392,22.66,2026-08-31,07/09/2026,Priced,
Q-70012,5295-9903-40139,28.8,2026-08-28,2026-09-15,Priced,
Q-70013,7559776290291,22.76,2026-08-26,07/09/2026,Priced,
Q-70014,88 2219 7050 519,14.57,2026-08-30,15/09/2026,Priced,
Q-70015,3564-6735-95767,29.83,2026-08-26,2026-09-11,Priced,
Q-70016,3936-1030-23945,27.72,2026-08-26,2026-09-14,Priced,
Q-70017,3628776916147,23.32,2026-08-31,15/09/2026,Priced,
Q-70018,4334745498276,33.24,2026-08-28,2026-09-14,Priced,
Q-70019,4399643475033,20.83,2026-08-28,15/09/2026,Priced,
Q-70020,7585-4518-57397,29.32,2026-08-29,04/09/2026,Priced,
Q-70021,09 9963 3274 717,27.0,2026-08-30,2026-09-09,Priced,
Q-70022,90 5616 0513 277,19.91,2026-08-30,15/09/2026,Priced,
Q-70023,15 0512 8296 099,19.48,2026-08-31,12/09/2026,Priced,
Q-70024,69 1363 6575 812,27.24,2026-08-27,2026-09-05,Priced,
Q-70025,62 3464 0110 478,31.44,2026-08-28,07/09/2026,Priced,
Q-70026,8567-4440-15348,18.77,2026-08-30,15/09/2026,Priced,
Q-70027,87 3701 2792 267,29.22,2026-09-01,05/09/2026,Priced,
Q-70028,57 3819 1067 413,24.05,2026-09-01,2026-09-04,Priced,
Q-70029,6885726074939,18.94,2026-08-30,2026-09-12,Priced,
Q-70030,5544-7013-40118,25.65,2026-08-26,08/09/2026,Priced,
Q-70031,14 7764 7065 702,18.18,2026-08-29,2026-09-04,Priced,
Q-70032,4878-0277-04040,31.9,2026-08-27,15/09/2026,Priced,
Q-70033,78 5946 3197 700,22.0,2026-08-29,2026-09-06,Priced,
Q-70034,3364039202847,20.48,2026-08-28,10/09/2026,Priced,
Q-70035,7291421234512,19.81,2026-09-01,2026-09-08,Priced,
Q-70036,63 7410 8450 724,24.16,2026-08-30,07/09/2026,Priced,
Q-70037,7346680764673,20.63,2026-08-26,2026-09-11,Priced,
Q-70038,3407-5462-28257,27.72,2026-08-26,07/09/2026,Priced,
Q-70039,0767-8306-75005,21.12,2026-08-30,2026-09-05,Priced,
Q-70040,9836698651171,31.14,2026-08-29,05/09/2026,Priced,
Q-70041,14 8853 7001 515,27.57,2026-08-27,12/09/2026,Priced,
Q-70042,5926238237379,18.45,2026-09-01,04/09/2026,Priced,
Q-70043,88 0031 3177 623,17.72,2026-09-01,2026-09-06,Priced,
Q-70044,6181-3436-68494,24.85,2026-08-30,2026-09-05,Priced,
Q-70045,9662918616265,21.99,2026-09-01,05/09/2026,Priced,
Q-70046,4115766547308,23.47,2026-08-31,13/09/2026,Priced,
Q-70047,3731391583300,29.28,2026-08-29,2026-09-09,Priced,
Q-70048,2480339085923,21.75,2026-08-31,05/09/2026,Priced,
Q-70049,3877795903699,29.76,2026-08-26,2026-09-15,Priced,
Q-70050,9259-1339-88849,30.72,2026-08-30,2026-09-09,Priced,
Q-70051,52 9895 1635 275,23.57,2026-08-27,2026-09-08,Priced,
Q-70052,49 8640 6165 458,34.51,2026-09-01,05/09/2026,Priced,
Q-70053,2997453311231,22.01,2026-08-29,15/09/2026,Priced,
Q-70054,0167874482043,17.87,2026-08-30,15/09/2026,Priced,
Q-70055,1452199464228,28.56,2026-08-31,2026-09-05,Priced,
Q-70056,7202140974975,33.81,2026-08-26,13/09/2026,Priced,
Q-70057,6444-0631-62763,21.22,2026-08-31,11/09/2026,Priced,
Q-70058,7029871736816,24.34,2026-09-01,10/09/2026,Priced,
Q-70059,26 5916 3505 872,16.79,2026-08-29,09/09/2026,Priced,
Q-70060,7557196338691,31.11,2026-08-27,2026-09-08,Priced,
Q-70061,5746873965586,25.24,2026-08-26,2026-09-04,Priced,
Q-70062,54 5779 1514 444,20.39,2026-08-28,2026-09-13,Priced,
Q-70063,3662-3662-98356,19.19,2026-08-28,14/09/2026,Priced,
Q-70064,99 8461 3065 291,18.82,2026-08-30,2026-09-14,Priced,
Q-70065,04 7591 6571 271,26.63,2026-08-28,09/09/2026,Priced,
Q-70066,6659496238556,20.51,2026-08-31,07/09/2026,Priced,
Q-70067,5413164949333,31.84,2026-08-27,10/09/2026,Priced,
Q-70068,11 8258 4963 385,19.46,2026-09-01,2026-09-07,Priced,
Q-70069,9651-2388-56533,18.05,2026-08-31,2026-09-06,Priced,
Q-70070,89 0691 7745 151,27.13,2026-08-26,2026-09-14,Priced,
Q-70071,8098-5403-02835,,2026-08-27,11/09/2026,Errored,Timeout fetching consumption data
Q-70072,87 2453 6904 094,28.79,2026-08-27,2026-09-11,Priced,
Q-70073,2548-8689-56711,18.79,2026-08-27,2026-09-13,Priced,
Q-70074,7752336555696,18.44,2026-08-30,2026-09-06,Priced,
Q-70075,0359042945333,22.92,2026-08-31,06/09/2026,Priced,
Q-70076,4838-1127-58228,25.39,2026-08-30,2026-09-06,Priced,
Q-70077,2754096439715,20.04,2026-08-26,11/09/2026,Priced,
Q-70078,8944397781081,23.22,2026-08-27,2026-09-05,Priced,
Q-70079,4182-4988-14010,31.08,2026-08-30,10/09/2026,Priced,
Q-70080,7949219530671,26.7,2026-08-27,2026-09-08,Priced,
Q-70081,80 8297 9129 504,34.93,2026-08-27,04/09/2026,Priced,
Q-70082,25 0799 4426 177,30.36,2026-08-29,2026-09-14,Priced,
Q-70083,4092588826526,,2026-09-01,2026-09-06,Errored,Pricing engine returned no rate
Q-70084,5334808801080,28.4,2026-08-30,2026-09-12,Priced,
Q-70085,3546024275118,28.34,2026-08-26,13/09/2026,Priced,
Q-70086,0105-3034-83628,27.49,2026-08-28,2026-09-09,Priced,
Q-70087,5910035370144,23.07,2026-08-28,15/09/2026,Priced,
Q-70088,1021-5839-35467,28.8,2026-08-31,2026-09-10,Priced,
Q-70089,6380856469507,19.57,2026-09-01,2026-09-08,Priced,
Q-70090,2386541652432,24.13,2026-08-27,2026-09-07,Priced,
Q-70091,48 8812 4894 761,,2026-08-26,2026-09-08,Errored,Pricing engine returned no rate
Q-70092,6354019691267,,2026-08-28,2026-09-14,Errored,Timeout fetching consumption data
Q-70093,6158338436364,27.97,2026-08-27,13/09/2026,Priced,
Q-70094,98 2314 1840 612,30.51,2026-08-30,11/09/2026,Priced,
Q-70095,99 3347 2795 587,34.45,2026-09-01,09/09/2026,Priced,
Q-70096,7640513952971,28.75,2026-08-30,09/09/2026,Priced,
Q-70097,6338-0635-50326,24.64,2026-08-29,2026-09-10,Priced,
Q-70098,25 8378 2666 014,25.3,2026-09-01,2026-09-12,Priced,
Q-70099,94 1892 1230 438,30.69,2026-08-29,2026-09-15,Priced,
Q-70100,8596751036742,21.11,2026-09-01,14/09/2026,Priced,
Q-70101,06 3523 0013 904,23.91,2026-08-30,2026-09-10,Priced,
Q-70102,6442536564682,16.9,2026-08-29,05/09/2026,Priced,
Q-70103,77 9241 0751 440,16.87,2026-08-29,11/09/2026,Priced,
Q-70104,2242178510464,21.58,2026-08-29,06/09/2026,Priced,
Q-70105,0980-1226-84922,32.35,2026-08-27,05/09/2026,Priced,
Q-70106,1744-3688-12494,18.21,2026-08-26,06/09/2026,Priced,
Q-70107,4528332115035,22.33,2026-08-28,2026-09-04,Priced,
Q-70108,4043827600445,22.98,2026-08-29,10/09/2026,Priced,
Q-70109,14 8383 3688 635,24.73,2026-09-01,2026-09-06,Priced,
Q-70110,5649428217687,22.29,2026-08-29,06/09/2026,Priced,
Q-70111,39 9166 1348 306,21.11,2026-08-26,2026-09-04,Priced,
Q-70112,0239902805392,19.46,2026-08-27,05/09/2026,Priced,
Q-70113,3197492227889,28.17,2026-08-30,2026-09-15,Priced,
Q-70114,49 5124 4843 286,17.35,2026-08-27,11/09/2026,Priced,
Q-70115,2509040307188,21.84,2026-08-31,2026-09-10,Priced,
Q-70116,8223-3541-69059,27.94,2026-08-30,05/09/2026,Priced,
Q-70117,7866406431215,24.24,2026-08-28,2026-09-05,Priced,
Q-70118,3360149690922,21.02,2026-09-01,2026-09-07,Priced,
Q-70119,3605685623556,24.57,2026-08-26,15/09/2026,Priced,
Q-70120,4357-0187-14113,29.61,2026-08-30,10/09/2026,Priced,
Q-70121,36 0621 9457 805,19.16,2026-08-28,2026-09-08,Priced,
Q-70122,9406-6068-24713,,2026-08-29,2026-09-13,Errored,Timeout fetching consumption data
Q-70123,7235504389172,22.88,2026-08-31,11/09/2026,Priced,
Q-70124,93 7382 1668 276,19.44,2026-08-31,13/09/2026,Priced,
Q-70125,2839273776595,18.35,2026-09-01,08/09/2026,Priced,
Q-70126,1346894828271,27.79,2026-08-30,10/09/2026,Priced,
Q-70127,91 3990 8566 621,18.27,2026-08-31,2026-09-06,Priced,
Q-70128,75 0291 7706 054,19.36,2026-08-28,2026-09-05,Priced,
Q-70129,2968909930652,17.01,2026-08-31,2026-09-06,Priced,
Q-70130,0898079195120,29.0,2026-08-28,2026-09-04,Priced,
